id_cliente,nome_cliente,sobrenome_cliente,data_nascimento,sexo,email_cliente,aceita_receber_newsletter,celular_cliente,whatsapp,aceita_receber_mensagens,fixo_cliente,logradouro,numero,bairro,cep,estado
1,Findley,Konzel,4/30/1982,Non-binary,fkonzel0@accuweather.com,false,386-890-0415,false,true,524-752-3098,Arizona,40552,,,
2,Cinderella,Housecroft,3/8/1953,Female,chousecroft1@cisco.com,true,486-377-1125,true,false,554-608-6073,East,48,,83-430,
3,Tisha,Tellwright,3/25/1945,Female,ttellwright2@go.com,true,267-294-7038,true,true,290-458-6581,New Castle,6,,,
4,Lyn,Sidlow,2/21/1959,Male,lsidlow3@google.de,false,830-607-6947,false,false,900-184-9241,Monica,1906,,337 01,
5,Starlene,Allred,9/19/1940,Female,sallred4@scribd.com,false,369-172-1168,false,true,921-931-9961,Hollow Ridge,88,,,Västernorrland
6,Lauritz,De Bruyn,1/3/1978,Male,ldebruyn5@purevolume.com,true,830-892-1678,true,false,174-130-5905,Grim,82,,929-0323,
7,Cecilia,Feare,4/17/1955,Female,cfeare6@bloglovin.com,true,567-720-0228,false,true,221-152-0946,Green Ridge,48,,,
8,Perceval,Pauleau,10/24/1977,Male,ppauleau7@reverbnation.com,false,436-869-9551,false,true,112-312-4690,Coolidge,2,,05-509,
9,Milty,O'Carran,6/14/1952,Male,mocarran8@europa.eu,true,290-597-0578,false,true,362-768-0135,Knutson,2311,,73900-000,
10,Silvio,Francklin,8/31/1974,Male,sfrancklin9@example.com,false,685-614-3006,true,true,501-577-5912,Green Ridge,612,,,
11,Rollie,Beaford,2/12/1973,Male,rbeaforda@dailymail.co.uk,true,403-598-5038,false,true,611-172-5005,Delladonna,0462,,44-323,
12,Arabele,Bartley,1/28/1983,Female,abartleyb@odnoklassniki.ru,true,102-387-2709,false,true,581-652-9996,Prairieview,27814,Stockholm,114 39,Guyane
13,Nilson,Jeacocke,10/15/1967,Male,njeacockec@lulu.com,true,365-679-6283,false,false,444-654-0796,Carioca,4,,,
14,Gracie,Upsale,8/28/1985,Female,gupsaled@google.cn,false,201-277-3929,false,false,808-276-3872,Onsgard,7919,Viseu,3660-622,
15,Ema,Adnam,6/11/1943,Female,eadname@desdev.cn,false,579-254-3986,true,false,802-218-5184,Clove,5,,,
16,Celestyna,Wringe,12/26/1964,Female,cwringef@uiuc.edu,false,442-404-6263,true,true,509-433-0898,Toban,0959,,38840-000,
