id_cliente,nome_cliente,sobrenome_cliente,data_nascimento,sexo,email_cliente,aceita_receber_newsletter,celular_cliente,whatsapp,aceita_receber_mensagens,fixo_cliente,logradouro,numero,bairro,cep,estado,ticket_medio,produtos_saudaveis_percentual
1,Findley,Konzel,1966-12-29 06:13:22.143596,Outros,fkonzel0@gmail.com,Não,386-890-0415,Não,Sim,524-752-3098,Arizona,40552,Barra da Tijuca,226007-000,RJ,469.26,18.81
2,Cinderella,Housecroft,2002-08-18 06:13:22.143596,Feminino,chousecroft1@gmail.com,Sim,486-377-1125,Sim,Não,554-608-6073,East,48,Tijuca,205009-000,RJ,393.51,25.99
3,Tisha,Tellwright,1966-01-11 06:13:22.143596,Feminino,ttellwright2@gmail.com,Sim,267-294-7038,Sim,Sim,290-458-6581,New Castle,6,Tijuca,205004-000,RJ,346.09,47.3
4,Lyn,Sidlow,2005-03-25 06:13:22.143596,Masculino,lsidlow3@gmail.com,Não,830-607-6947,Não,Não,900-184-9241,Monica,1906,Barra da Tijuca,226005-000,RJ,267.37,54.63
5,Starlene,Allred,1997-03-24 06:13:22.143596,Feminino,sallred4@gmail.com,Não,369-172-1168,Não,Sim,921-931-9961,Hollow Ridge,88,Barra da Tijuca,226005-000,RJ,149.57,39.78
6,Lauritz,De Bruyn,1977-07-26 06:13:22.143596,Masculino,ldebruyn5@hotmail.com,Sim,830-892-1678,Sim,Não,174-130-5905,Grim,82,Copacabana,220005-000,RJ,294.67,45.32
7,Cecilia,Feare,1996-07-05 06:13:22.143596,Feminino,cfeare6@hotmail.com,Sim,567-720-0228,Não,Sim,221-152-0946,Green Ridge,48,Barra da Tijuca,226005-000,RJ,124.4,18.56
8,Perceval,Pauleau,1989-10-25 06:13:22.143596,Masculino,ppauleau7@gmail.com,Não,436-869-9551,Não,Sim,112-312-4690,Coolidge,2,Copacabana,220004-000,RJ,491.62,41.72
9,Milty,O'Carran,1994-11-27 06:13:22.143596,Masculino,mocarran8@gmail.com,Sim,290-597-0578,Não,Sim,362-768-0135,Knutson,2311,Copacabana,220001-000,RJ,148.55,25.45
10,Silvio,Francklin,2002-08-23 06:13:22.143596,Masculino,sfrancklin9@gmail.com,Não,685-614-3006,Sim,Sim,501-577-5912,Green Ridge,612,Barra da Tijuca,226002-000,RJ,61.29,42.01
11,Rollie,Beaford,2004-12-24 06:13:22.143596,Masculino,rbeaforda@hotmail.com,Sim,403-598-5038,Não,Sim,611-172-5005,Delladonna,462,Tijuca,205004-000,RJ,460.48,88.83
12,Arabele,Bartley,2002-07-13 06:13:22.143596,Feminino,abartleyb@gmail.com,Sim,102-387-2709,Não,Sim,581-652-9996,Prairieview,27814,Tijuca,205008-000,RJ,443.09,21.76
13,Nilson,Jeacocke,1989-10-26 06:13:22.143596,Masculino,njeacockec@gmail.com,Sim,365-679-6283,Não,Não,444-654-0796,Carioca,4,Copacabana,220004-000,RJ,426.6,23.74
14,Gracie,Upsale,1990-08-24 06:13:22.143596,Feminino,gupsaled@hotmail.com,Não,201-277-3929,Não,Não,808-276-3872,Onsgard,7919,Tijuca,205002-000,RJ,98.33,39.14
15,Ema,Adnam,1963-06-27 06:13:22.143596,Feminino,eadname@hotmail.com,Não,579-254-3986,Sim,Não,802-218-5184,Clove,5,Copacabana,220008-000,RJ,316.32,63.45
16,Celestyna,Wringe,1973-10-29 06:13:22.143596,Feminino,cwringef@hotmail.com,Não,442-404-6263,Sim,Sim,509-433-0898,Toban,959,Tijuca,205008-000,RJ,132.11,80.99
17,Ellene,Cantillon,1985-05-21 06:13:22.143596,Feminino,ecantillong@hotmail.com,Não,989-391-0421,Não,Não,946-144-5122,Bay,14,Barra da Tijuca,226006-000,RJ,381.5,9.39
18,Papagena,Alaway,1963-04-15 06:13:22.143596,Feminino,palawayh@gmail.com,Sim,984-246-2566,Não,Não,530-713-8290,Mosinee,580,Tijuca,205007-000,RJ,308.89,26.54
19,Gerri,Gann,1996-09-29 06:13:22.143596,Masculino,gganni@gmail.com,Sim,107-264-5045,Não,Sim,932-547-3677,Hanson,70396,Tijuca,205005-000,RJ,116.65,54.88
20,Josh,Bonhan,1990-10-22 06:13:22.143596,Outros,jbonhanj@gmail.com,Sim,830-979-0333,Não,Não,474-635-3176,Westridge,14,Copacabana,220007-000,RJ,204.6,27.08
21,Henka,Domelaw,1989-02-25 06:13:22.143596,Feminino,hdomelawk@gmail.com,Sim,808-275-3663,Sim,Não,798-159-9126,Riverside,453,Copacabana,220003-000,RJ,67.16,52.42
22,Dion,Spadaro,1999-03-18 06:13:22.143596,Masculino,dspadarol@gmail.com,Sim,255-646-4997,Sim,Sim,783-626-0068,Bluestem,9,Barra da Tijuca,226008-000,RJ,271.96,96.37
23,Hilary,Agglio,1988-11-29 06:13:22.143596,Feminino,haggliom@gmail.com,Não,385-492-9001,Não,Não,433-912-8307,Basil,55311,Tijuca,205003-000,RJ,86.9,49.91
24,Carlynn,Gronaller,1966-02-27 06:13:22.143596,Feminino,cgronallern@hotmail.com,Não,269-762-3302,Não,Não,798-266-0723,Dexter,1952,Barra da Tijuca,226004-000,RJ,484.73,35.7
25,Natale,Eilert,1967-04-05 06:13:22.143596,Masculino,neilerto@gmail.com,Não,378-842-3716,Sim,Não,195-171-2582,Bartillon,99761,Barra da Tijuca,226003-000,RJ,247.53,10.89
26,Moises,De Santos,1981-03-02 06:13:22.143596,Masculino,mdesantosp@hotmail.com,Não,391-685-0769,Não,Sim,967-379-7500,Dexter,4,Tijuca,205006-000,RJ,296.04,84.26
27,Rozella,Petranek,1987-12-29 06:13:22.143596,Outros,rpetranekq@hotmail.com,Não,670-650-0177,Sim,Não,607-369-7369,Porter,4868,Barra da Tijuca,226007-000,RJ,169.3,37.34
28,Monty,Giovannini,1971-09-06 06:13:22.143596,Masculino,mgiovanninir@hotmail.com,Não,443-434-9020,Sim,Não,665-186-7609,Dryden,56647,Tijuca,205004-000,RJ,343.79,16.0
29,Darci,Hiland,1965-06-04 06:13:22.143596,Feminino,dhilands@hotmail.com,Não,646-605-9534,Sim,Sim,783-441-2902,Spohn,515,Copacabana,220007-000,RJ,489.05,75.87
30,Quintilla,Borwick,1976-01-22 06:13:22.143596,Feminino,qborwickt@hotmail.com,Não,955-931-1580,Não,Não,173-355-5590,Golf View,5,Tijuca,205009-000,RJ,425.42,68.47
31,Cornelle,Wrack,1994-02-04 06:13:22.143596,Feminino,cwracku@hotmail.com,Não,118-563-5502,Não,Sim,979-740-9634,American Ash,89,Copacabana,220002-000,RJ,316.39,8.51
32,Dallon,Ervin,1961-06-28 06:13:22.143596,Masculino,dervinv@gmail.com,Sim,610-669-5594,Sim,Não,239-644-7186,Erie,70678,Barra da Tijuca,226005-000,RJ,90.82,72.12
33,Teador,Lincke,1993-04-29 06:13:22.143596,Masculino,tlinckew@hotmail.com,Não,207-543-3664,Não,Sim,377-504-5675,American Ash,76,Copacabana,220009-000,RJ,420.12,74.74
34,Savina,Campa,1970-07-30 06:13:22.143596,Feminino,scampax@hotmail.com,Não,125-523-5086,Não,Sim,431-837-1000,Anniversary,295,Tijuca,205005-000,RJ,353.01,72.98
35,Glyn,Sharplin,1988-02-18 06:13:22.143596,Masculino,gsharpliny@gmail.com,Sim,701-815-6699,Não,Sim,249-501-9975,Bayside,788,Barra da Tijuca,226006-000,RJ,480.92,50.93
36,Humbert,Million,1964-03-26 06:13:22.143596,Masculino,hmillionz@gmail.com,Não,863-379-5317,Não,Não,818-141-0123,Calypso,9067,Barra da Tijuca,226006-000,RJ,354.1,55.78
37,Melony,Doeg,1964-08-27 06:13:22.143596,Feminino,mdoeg10@hotmail.com,Sim,628-373-0429,Sim,Não,960-916-0199,Kim,7,Barra da Tijuca,226003-000,RJ,451.2,22.0
38,Cullen,Moult,1993-04-25 06:13:22.143596,Masculino,cmoult11@hotmail.com,Não,720-137-3854,Não,Sim,931-639-0886,Porter,7022,Tijuca,205006-000,RJ,292.77,99.24
39,Konstance,Finders,1963-02-26 06:13:22.143596,Feminino,kfinders12@gmail.com,Não,121-677-1501,Sim,Não,410-437-6066,Vernon,7,Copacabana,220001-000,RJ,257.3,17.73
40,Peyton,Docksey,1988-02-19 06:13:22.143596,Masculino,pdocksey13@hotmail.com,Sim,435-242-7182,Não,Sim,202-705-9765,Morningstar,1,Tijuca,205004-000,RJ,457.21,57.99
41,Derek,Janway,1963-12-12 06:13:22.143596,Masculino,djanway14@gmail.com,Não,561-750-2811,Não,Sim,883-255-5870,Oak Valley,35960,Barra da Tijuca,226006-000,RJ,118.37,91.66
42,Jane,Andreev,1982-11-19 06:13:22.143596,Feminino,jandreev15@gmail.com,Sim,937-493-5452,Sim,Sim,157-758-1142,Petterle,9,Barra da Tijuca,226001-000,RJ,488.54,63.57
43,Briney,Fillgate,1997-12-08 06:13:22.143596,Feminino,bfillgate16@gmail.com,Não,736-996-9842,Sim,Sim,150-501-5934,Kedzie,77764,Tijuca,205001-000,RJ,112.64,80.49
44,Stephani,Crennan,1988-07-28 06:13:22.143596,Feminino,scrennan17@hotmail.com,Sim,248-286-0195,Sim,Não,901-983-7094,Fisk,36,Tijuca,205006-000,RJ,490.92,33.1
45,Helena,Halliwell,1969-04-14 06:13:22.143596,Feminino,hhalliwell18@gmail.com,Sim,379-795-6204,Não,Sim,810-726-0160,Almo,2,Tijuca,205004-000,RJ,62.17,78.66
46,Dominique,Redmile,1972-12-15 06:13:22.143596,Feminino,dredmile19@gmail.com,Não,427-476-5591,Não,Não,632-544-6837,Red Cloud,298,Copacabana,220004-000,RJ,248.15,36.0
47,Stanley,Latan,1986-02-06 06:13:22.143596,Masculino,slatan1a@hotmail.com,Não,211-940-9183,Não,Sim,868-229-5283,Springview,57,Copacabana,220006-000,RJ,364.43,3.07
48,Syd,Wrightem,1976-07-11 06:13:22.143596,Masculino,swrightem1b@gmail.com,Sim,288-187-0230,Não,Não,666-867-2441,Schmedeman,785,Tijuca,205003-000,RJ,178.53,37.73
49,Jaime,Goldster,2007-03-27 06:13:22.143596,Outros,jgoldster1c@hotmail.com,Não,287-466-8992,Não,Sim,351-915-6078,Pleasure,777,Barra da Tijuca,226007-000,RJ,176.98,56.42
50,Blane,Matyushkin,1962-11-22 06:13:22.143596,Masculino,bmatyushkin1d@hotmail.com,Não,471-669-2076,Não,Não,453-281-4605,Elka,59,Copacabana,220008-000,RJ,273.5,81.49
51,Debera,Hubbocks,1996-11-15 06:13:22.143596,Feminino,dhubbocks1e@gmail.com,Não,663-692-9412,Não,Sim,616-715-0979,Pond,5,Copacabana,220007-000,RJ,65.36,67.98
52,Drake,Foss,1988-05-09 06:13:22.143596,Masculino,dfoss1f@gmail.com,Sim,628-773-0503,Não,Não,341-619-5032,Maywood,52,Copacabana,220002-000,RJ,365.47,73.5
53,Haywood,Whitwood,1969-07-29 06:13:22.143596,Masculino,hwhitwood1g@gmail.com,Não,329-927-6986,Não,Não,422-999-1245,Corry,778,Tijuca,205005-000,RJ,348.68,5.36
54,Nicky,Donahue,1988-09-30 06:13:22.143596,Masculino,ndonahue1h@hotmail.com,Sim,359-462-3199,Sim,Sim,912-193-1107,Atwood,76238,Barra da Tijuca,226007-000,RJ,429.6,53.14
55,Grata,Sollis,1997-03-23 06:13:22.143596,Feminino,gsollis1i@gmail.com,Não,991-334-3501,Sim,Sim,712-503-7481,Glacier Hill,25555,Tijuca,205006-000,RJ,457.13,29.33
56,Stanton,Fallowfield,1975-07-25 06:13:22.143596,Masculino,sfallowfield1j@hotmail.com,Não,472-206-2335,Sim,Não,686-842-0890,Meadow Valley,1698,Tijuca,205007-000,RJ,309.14,45.35
57,Artur,Dankersley,2007-03-27 06:13:22.143596,Masculino,adankersley1k@gmail.com,Não,452-892-2105,Sim,Não,612-570-3983,Montana,0,Tijuca,205008-000,RJ,444.43,56.07
58,Bruis,Shee,1964-02-16 06:13:22.143596,Masculino,bshee1l@hotmail.com,Sim,729-292-0404,Não,Sim,353-949-2376,Beilfuss,570,Tijuca,205008-000,RJ,156.6,75.66
59,Nealon,Challener,1969-04-06 06:13:22.143596,Masculino,nchallener1m@gmail.com,Não,100-653-7700,Sim,Sim,253-611-9613,Loomis,108,Tijuca,205004-000,RJ,110.26,63.54
60,Pincas,Creebo,2005-04-05 06:13:22.143596,Masculino,pcreebo1n@hotmail.com,Não,828-274-5485,Sim,Sim,301-275-5771,Jana,0,Barra da Tijuca,226009-000,RJ,154.66,28.39
61,Bev,Gargett,1993-12-19 06:13:22.143596,Masculino,bgargett1o@hotmail.com,Sim,663-864-3563,Sim,Não,242-487-8912,Shelley,24966,Barra da Tijuca,226006-000,RJ,434.75,38.03
62,Creigh,Sanpher,1970-02-21 06:13:22.143596,Outros,csanpher1p@gmail.com,Sim,587-123-1753,Sim,Sim,824-886-6474,Elka,268,Barra da Tijuca,226007-000,RJ,443.94,96.51
63,Ivett,Perrone,2001-03-19 06:13:22.143596,Feminino,iperrone1q@gmail.com,Sim,305-424-6074,Sim,Não,283-514-4492,Valley Edge,45075,Copacabana,220002-000,RJ,120.78,48.85
64,Dolf,Studart,1987-11-11 06:13:22.143596,Masculino,dstudart1r@gmail.com,Sim,271-955-4671,Não,Sim,258-280-3355,Everett,449,Copacabana,220007-000,RJ,483.45,20.28
65,Almeda,Cadalleder,1965-01-15 06:13:22.143596,Outros,acadalleder1s@hotmail.com,Sim,531-322-5337,Sim,Sim,297-542-7260,Cottonwood,95180,Barra da Tijuca,226005-000,RJ,262.78,87.75
66,Adams,Mulcaster,2002-02-12 06:13:22.143596,Masculino,amulcaster1t@gmail.com,Sim,866-693-7550,Não,Sim,404-914-3235,Bobwhite,23,Copacabana,220005-000,RJ,161.97,88.51
67,Bevan,Brill,1999-04-06 06:13:22.143596,Masculino,bbrill1u@hotmail.com,Sim,812-810-3165,Não,Não,904-904-6790,Mccormick,0,Copacabana,220002-000,RJ,409.5,88.21
